id,login,company,created_at,type,fake,deleted,long,lat,country_code,state,city,location
155,YAKDLRTA,\N,8/3/12 16:09,USR,1,0,\N,\N,\N,\N,\N,\N
156,YRELAPMV,\N,8/3/12 16:09,USR,1,0,\N,\N,\N,\N,\N,\N
157,OYNTNHMQ,\N,8/3/12 16:09,USR,1,1,\N,\N,\N,\N,\N,\N
158,karelzak,\N,9/7/11 2:50,USR,0,0,0,0,\N,\N,\N,\N
159,angular,\N,10/13/09 20:16,ORG,0,0,0,0,\N,\N,\N,\N
160,RayKwon,GE Healthcare Korea Technology Center,7/3/11 2:23,USR,0,1,0,0,\N,\N,\N,Melbourne
161,macmade,XS-Labs,10/29/09 19:14,USR,0,0,8.227512,46.818188,ch,\N,\N,Switzerland
162,XEDSMBUO,\N,8/3/12 16:09,USR,1,1,\N,\N,\N,\N,\N,\N
163,roycyang,Giant Machines,9/22/10 16:47,USR,0,0,-74.0059728,40.7127753,us,New York,New York,"New York, NY"
164,bernhard-voelker,\N,8/23/13 9:39,USR,0,0,11.4978895,48.7904472,de,Bavaria,\N,"Bavaria, Germany"
165,ryanbateman,Novoda,12/2/11 14:47,USR,0,0,-0.1277583,51.5073509,gb,Greater London,London,"London, United Kingdom"
166,powmedia,\N,7/28/10 14:33,USR,0,0,-95.9236871,36.0880339,us,Tulsa County,Tulsa,Barcelona
167,ORBEJEDK,\N,8/3/12 16:09,USR,1,0,\N,\N,\N,\N,\N,\N
168,justindarc,Mozilla Corporation,2/21/10 0:31,USR,0,0,-78.9219698,40.3267407,us,Cambria County,Johnstown,"Johnstown, PA"
169,Liberty-Concepts,\N,1/30/12 16:46,ORG,0,0,0,0,\N,\N,\N,"Boston, MA"
170,allynt,\N,3/16/12 2:56,USR,0,0,0,0,\N,\N,\N,"Edinburgh, Scotland, UK"
171,chayes627,\N,7/28/12 13:42,USR,0,0,0,0,\N,\N,\N,MD
172,gregskloot,\N,7/28/12 14:46,USR,0,0,0,0,\N,\N,\N,\N
173,tijsverkoyen,SumoCoders,4/22/10 15:19,USR,0,0,3.7174243,51.0543422,be,East Flanders,Ghent,Ghent
174,smagnani,\N,5/7/14 23:50,USR,0,0,0,0,\N,\N,\N,\N
175,knot,SUSE,11/18/08 20:45,USR,0,0,14.4378005,50.0755381,cz,Hlavní město Praha,Prague,Prague
176,jonpry,\N,9/8/11 15:48,USR,0,0,0,0,\N,\N,\N,\N
177,XLFGAECO,\N,8/3/12 16:09,USR,1,0,\N,\N,\N,\N,\N,\N
178,kubitron,UC Berkeley,10/7/11 1:13,USR,0,0,0,0,\N,\N,\N,\N
179,mbroz,\N,2/9/12 15:13,USR,0,0,0,0,\N,\N,\N,\N
180,chenniaoc,\N,7/2/10 3:36,USR,0,0,0,0,\N,\N,\N,\N
181,hpc,\N,8/3/11 19:42,ORG,0,0,0,0,\N,\N,\N,"Earth, Milky Way Galaxy"
182,LANLgrahamvh,Los Alamos National Laboritory,7/31/12 15:49,USR,0,0,0,0,\N,\N,\N,\N
183,Wylmer,CAEIT,5/29/12 10:48,USR,0,0,0,0,\N,\N,\N,\N
